id,user id,nama pesanan,status pesanan,created_at,updated_at
1,1,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
2,1,Iced Tea,1,2025-01-06 02:38:16,2025-01-06 02:38:16
3,2,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
4,2,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
5,2,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
6,3,Beef Steak,1,2025-01-06 02:38:16,2025-01-06 02:38:16
7,4,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
8,4,Hazelnut Coffee,1,2025-01-06 02:38:16,2025-01-06 02:38:16
9,4,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
10,4,Coconut Water,1,2025-01-06 02:38:16,2025-01-06 02:38:16
11,5,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
12,5,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
13,5,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
14,5,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
15,5,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
16,6,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
17,6,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
18,6,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
19,7,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
20,7,Hazelnut Coffee,1,2025-01-06 02:38:16,2025-01-06 02:38:16
21,8,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
22,8,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
23,8,Beef Steak,1,2025-01-06 02:38:16,2025-01-06 02:38:16
24,8,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
25,9,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
26,9,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
27,9,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
28,9,Beef Steak,1,2025-01-06 02:38:16,2025-01-06 02:38:16
29,9,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
30,10,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
31,11,Milkshake,1,2025-01-06 02:38:16,2025-01-06 02:38:16
32,11,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
33,11,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
34,12,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
35,12,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
36,12,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
37,12,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
38,13,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
39,13,Hazelnut Coffee,1,2025-01-06 02:38:16,2025-01-06 02:38:16
40,14,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
41,15,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
42,15,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
43,15,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
44,16,Beef Steak,1,2025-01-06 02:38:16,2025-01-06 02:38:16
45,16,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
46,16,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
47,16,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
48,17,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
49,17,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
50,18,Almond Milk Latte,1,2025-01-06 02:38:16,2025-01-06 02:38:16
51,18,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
52,18,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
53,19,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
54,19,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
